id,genre,Popularity,Song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,seconds
4Et6tUEO7biKxZEfJXpNj1,chill,77.0,Another Love - Tiësto Remix,0.79,0.764,E,-4.685,Minor,0.0737,0.0836,0.0871,0.132,0.473,123.046,audio_features,spotify:track:4Et6tUEO7biKxZEfJXpNj1,https://api.spotify.com/v1/tracks/4Et6tUEO7biKxZEfJXpNj1,https://api.spotify.com/v1/audio-analysis/4Et6tUEO7biKxZEfJXpNj1,185366,4/4,185.366
2WWfjbHALIb3e7FMcj9mr4,chill,62.0,Line Of Sight,0.558,0.733,G#A,-6.65,Major,0.0693,0.0334,0.00193,0.193,0.173,89.992,audio_features,spotify:track:2WWfjbHALIb3e7FMcj9mr4,https://api.spotify.com/v1/tracks/2WWfjbHALIb3e7FMcj9mr4,https://api.spotify.com/v1/audio-analysis/2WWfjbHALIb3e7FMcj9mr4,237140,4/4,237.14
6D6HVKe7Qu3imn4zzJD0W9,chill,69.0,drunk,0.691,0.389,E,-8.247,Major,0.0367,0.765,0.0,0.0941,0.306,104.952,audio_features,spotify:track:6D6HVKe7Qu3imn4zzJD0W9,https://api.spotify.com/v1/tracks/6D6HVKe7Qu3imn4zzJD0W9,https://api.spotify.com/v1/audio-analysis/6D6HVKe7Qu3imn4zzJD0W9,227032,4/4,227.032
6ncNLU982iaD9WFb2gTwKd,chill,68.0,Darling,0.72,0.681,C,-8.962,Major,0.0469,0.0938,0.0161,0.109,0.424,99.002,audio_features,spotify:track:6ncNLU982iaD9WFb2gTwKd,https://api.spotify.com/v1/tracks/6ncNLU982iaD9WFb2gTwKd,https://api.spotify.com/v1/audio-analysis/6ncNLU982iaD9WFb2gTwKd,189091,4/4,189.091
3VL3aSOA8O3b5iOVBkD9iD,chill,64.0,where's the confetti?,0.574,0.874,F,-4.922,Minor,0.174,0.0283,0.0,0.11,0.819,92.153,audio_features,spotify:track:3VL3aSOA8O3b5iOVBkD9iD,https://api.spotify.com/v1/tracks/3VL3aSOA8O3b5iOVBkD9iD,https://api.spotify.com/v1/audio-analysis/3VL3aSOA8O3b5iOVBkD9iD,200934,4/4,200.934
4DZNBRBogcfKTTaTyi4V01,chill,68.0,i'm closing my eyes,0.877,0.11,C,-13.87,Minor,0.0996,0.501,0.677,0.0872,0.522,134.057,audio_features,spotify:track:4DZNBRBogcfKTTaTyi4V01,https://api.spotify.com/v1/tracks/4DZNBRBogcfKTTaTyi4V01,https://api.spotify.com/v1/audio-analysis/4DZNBRBogcfKTTaTyi4V01,118302,4/4,118.302
2ej1A2Ze6P2EOW7KfIosZR,chill,67.0,Feather (feat. Cise Starr & Akin from CYNE),0.565,0.749,A#B,-6.629,Minor,0.0769,0.655,0.432,0.106,0.881,180.598,audio_features,spotify:track:2ej1A2Ze6P2EOW7KfIosZR,https://api.spotify.com/v1/tracks/2ej1A2Ze6P2EOW7KfIosZR,https://api.spotify.com/v1/audio-analysis/2ej1A2Ze6P2EOW7KfIosZR,175360,4/4,175.36
55rn9bs7vZBsEK4Y4URraH,chill,68.0,Dance with Me,0.593,0.275,F#G,-15.25,Minor,0.0638,0.816,0.0115,0.108,0.363,114.82,audio_features,spotify:track:55rn9bs7vZBsEK4Y4URraH,https://api.spotify.com/v1/tracks/55rn9bs7vZBsEK4Y4URraH,https://api.spotify.com/v1/audio-analysis/55rn9bs7vZBsEK4Y4URraH,87411,4/4,87.411
3RbNcjVnQixKa1sULcwd2K,chill,70.0,Losing Interest,0.96,0.36,A#B,-16.192,Minor,0.155,0.673,0.0177,0.293,0.639,114.927,audio_features,spotify:track:3RbNcjVnQixKa1sULcwd2K,https://api.spotify.com/v1/tracks/3RbNcjVnQixKa1sULcwd2K,https://api.spotify.com/v1/audio-analysis/3RbNcjVnQixKa1sULcwd2K,136696,4/4,136.696
2BuJrxYKhYky20dQqTlobO,chill,68.0,skeletons,0.719,0.265,D,-12.782,Major,0.0754,0.296,0.0865,0.108,0.273,80.021,audio_features,spotify:track:2BuJrxYKhYky20dQqTlobO,https://api.spotify.com/v1/tracks/2BuJrxYKhYky20dQqTlobO,https://api.spotify.com/v1/audio-analysis/2BuJrxYKhYky20dQqTlobO,152480,4/4,152.48
4XeIiGpUBshIfs9yrBDVZC,chill,68.0,The Last Goodbye,0.667,0.92,A,-2.71,Major,0.0773,0.00752,0.00232,0.126,0.146,114.977,audio_features,spotify:track:4XeIiGpUBshIfs9yrBDVZC,https://api.spotify.com/v1/tracks/4XeIiGpUBshIfs9yrBDVZC,https://api.spotify.com/v1/audio-analysis/4XeIiGpUBshIfs9yrBDVZC,358983,4/4,358.983
